,name,developer,platform,genre,total_sales,na_sales,eu_sales,japan_sales,other_sales,release_year
61, Star Wars: The Force Unleashed     ,LucasArts  ,X360,Action,2.77,1.74,0.78,0.01,0.26,2008
62, Saints Row: The Third     ,Volition Inc.  ,X360,Action,2.77,1.26,1.14,0.07,0.30,2011
63, LEGO Star Wars II: The Original Trilogy     ,Traveller's Tales  ,PS2,Action,2.69,1.85,0.64,0.01,0.19,2006
64, Hannah Montana     ,DC Studios  ,DS,Action,2.65,1.59,0.80,0.01,0.26,2006
65, Tom Clancy's Splinter Cell     ,Ubisoft  ,PS2,Action,2.65,1.15,1.11,0.01,0.40,2003
66, Streets of Rage     ,Sega  ,GEN,Action,2.60,1.86,0.55,0.11,0.08,1990
67, LEGO Star Wars: The Complete Saga     ,Traveller's Tales  ,X360,Action,2.59,1.53,0.83,0.01,0.24,2007
68, Tomb Raider (2013)    Read the review ,Crystal Dynamics  ,PS3,Action,2.51,0.60,1.45,0.08,0.38,2013
69, Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City     ,Rockstar North  ,XB,Action,2.49,1.84,0.56,0.01,0.09,2003
70, Saints Row: The Third     ,Volition Inc.  ,PS3,Action,2.48,0.86,1.06,0.18,0.37,2011
71, Tomb Raider: The Last Revelation     ,Core Design Ltd.  ,PS,Action,2.48,1.15,1.14,0.06,0.13,1999
72, Assassin's Creed Origins     ,Ubisoft Montreal  ,XOne,Action,2.47,1.34,0.92,0.01,0.22,2017
73, Dying Light    Read the review ,Techland  ,PS4,Action,2.45,1.18,0.74,0.13,0.40,2015
74, Dead Island    Read the review ,Techland  ,X360,Action,2.38,1.48,0.70,0.01,0.21,2011
75, The Incredibles     ,Heavy Iron Studios  ,PS2,Action,2.37,0.96,1.08,0.04,0.30,2004
76, Uncharted: The Lost Legacy     ,Naughty Dog  ,PS4,Action,2.37,0.58,1.38,0.04,0.36,2017
77, Lego Marvel Super Heroes     ,Traveller's Tales  ,X360,Action,2.34,1.26,0.87,0.01,0.21,2013
78, Assassin's Creed IV: Black Flag     ,Ubisoft Montreal  ,XOne,Action,2.32,1.51,0.59,0.01,0.22,2013
79, Grand Theft Auto     ,DMA Design  ,PS,Action,2.32,0.79,1.35,0.04,0.14,1998
80, LEGO Star Wars: The Complete Saga     ,Traveller's Tales  ,PS3,Action,2.31,1.02,0.93,0.01,0.36,2007
81, Dead Island     ,Techland  ,PS3,Action,2.29,1.08,0.74,0.15,0.32,2011
82, Teenage Mutant Ninja Turtles II: The Arcade Game     ,Konami  ,NES,Action,2.23,1.74,0.25,0.21,0.03,1990
83, Star Wars: The Force Unleashed     ,LucasArts  ,PS3,Action,2.22,1.01,0.86,0.01,0.35,2008
84, Finding Nemo     ,Traveller's Tales  ,PS2,Action,2.09,1.26,0.60,0.05,0.18,2003
85, Metal Gear Solid: Peace Walker    Read the review ,Kojima Productions  ,PSP,Action,2.08,0.46,0.42,0.96,0.25,2010
86, The Incredibles     ,Helixe  ,GBA,Action,2.06,1.15,0.77,0.04,0.10,2004
87, Hitman: Absolution     ,IO Interactive  ,PS3,Action,2.06,0.59,1.08,0.07,0.32,2012
88, Toy Story 3: The Video Game     ,Avalanche Software  ,DS,Action,2.06,0.89,0.95,0.02,0.21,2010
89, Tom Clancy's Splinter Cell: Conviction    Read the review ,Ubisoft Montreal  ,X360,Action,2.06,1.20,0.62,0.04,0.19,2010
90, Middle-Earth: Shadow of War     ,Monolith Productions  ,PS4,Action,2.04,0.82,0.84,0.06,0.33,2017
91, Peter Jackson's King Kong: The Official Game of the Movie     ,Ubisoft Montpellier  ,PS2,Action,2.04,0.71,1.02,0.01,0.31,2005
92, Tenchu: Stealth Assassins     ,Acquire  ,PS,Action,1.99,0.95,0.64,0.27,0.13,1998
93, Resident Evil 6     ,Capcom  ,X360,Action,1.97,1.12,0.61,0.07,0.16,2012
94, E.T.: The Extra Terrestrial     ,Atari  ,2600,Action,1.97,1.84,0.11,0.01,0.02,1982
95, Dishonored 2     ,Arkane Studios  ,PS4,Action,1.97,0.62,1.02,0.01,0.31,2016
96, Lego Marvel Super Heroes     ,Traveller's Tales  ,PS3,Action,1.96,0.77,0.85,0.01,0.32,2013
97, Grand Theft Auto: San Andreas     ,Rockstar North  ,XB,Action,1.95,1.26,0.61,0.01,0.09,2005
